	Рейтинг	Компания	Кол-во фильмов	Box office	Кол-во билетов	Процент от общего кол-ва	Год
2601	25	Amazon Studios	8	$18,761,491	2,059,437	0.16%	2018
2602	26	LD Entertainment	2	$17,039,700	1,870,438	0.14%	2018
2603	27	Greenwich	8	$14,732,864	1,617,215	0.12%	2018
2604	28	IFC Films	23	$12,690,498	1,393,029	0.11%	2018
2605	29	BH Tilt	1	$11,977,130	1,314,723	0.10%	2018
2606	30	Well Go USA	25	$9,231,315	1,013,307	0.08%	2018
2607	31	OTL Releasing	2	$8,888,762	975,714	0.07%	2018
2608	32	Orion Pictures	2	$6,658,511	730,900	0.06%	2018
2609	33	Briarcliffe Entertainment	1	$6,352,306	697,289	0.05%	2018
2610	34	Quality Flix	1	$5,885,881	646,090	0.05%	2018
2611	35	IMAX Films	1	$5,757,906	632,042	0.05%	2018
2612	36	FUNimation	1	$5,427,591	595,783	0.05%	2018
2613	37	The Orchard	15	$5,380,123	590,566	0.05%	2018
2614	38	Yash Raj Films	4	$4,920,027	540,066	0.04%	2018
2615	39	Vertical Entertainment	4	$4,845,701	531,908	0.04%	2018
2616	40	GKIDS	11	$4,820,479	529,135	0.04%	2018
2617	41	GVN Releasing	3	$4,265,957	468,270	0.04%	2018
2618	42	Reliance Entertainment	1	$4,115,790	451,788	0.03%	2018
2619	43	ShortsHD	1	$3,508,777	385,156	0.03%	2018
2620	44	Electric Entertainment	1	$3,424,744	375,932	0.03%	2018
2621	45	Fun Academy Motion Pictures	1	$3,054,285	335,267	0.03%	2018
2622	46	Eros Entertainment	6	$3,039,879	333,683	0.03%	2018
2623	47	Freestyle Releasing	2	$2,892,640	317,523	0.02%	2018
2624	48	Great India Films	1	$2,663,090	292,326	0.02%	2018
2625	49	Gunpowder & Sky	2	$2,443,600	268,231	0.02%	2018
2626	50	China Lion Film Distribution	11	$2,286,937	251,031	0.02%	2018
2627	51	Cohen Media Group	9	$1,990,041	218,442	0.02%	2018
2628	52	Kino Lorber	21	$1,776,282	194,971	0.01%	2018
2629	53	Pinnacle Peak	1	$1,379,497	151,426	0.01%	2018
2630	54	FIP	1	$1,319,579	144,850	0.01%	2018
2631	55	Strand	11	$1,254,004	137,647	0.01%	2018
2632	56	ABS-CBN	1	$1,246,444	136,821	0.01%	2018
2633	57	Sundance Selects	4	$1,237,369	135,825	0.01%	2018
2634	58	RLJ Entertainment	1	$1,214,525	133,317	0.01%	2018
2635	59	ArtAffects	1	$1,209,645	132,782	0.01%	2018
2636	60	FilmRise	6	$1,047,672	114,999	0.01%	2018
2637	61	Zeitgeist	4	$1,027,894	112,829	0.01%	2018
2638	62	United Artists	1	$993,385	109,043	0.01%	2018
2639	63	Oscilloscope Pictures	13	$921,244	101,121	0.01%	2018
2640	64	PackYourBag Films	1	$893,582	98,088	0.01%	2018
2641	65	Film Movement	16	$861,424	94,549	0.01%	2018
2642	66	Music Box Films	10	$797,843	87,574	0.01%	2018
2643	67	Good Deed Entertainment	3	$787,955	86,492	0.01%	2018
2644	68	Menemsha Entertainment	2	$770,146	84,538	0.01%	2018
2645	69	Abramorama Films	14	$729,858	80,110	0.01%	2018
2646	70	Gathr Films	1	$726,593	79,757	0.01%	2018
2647	71	Swen Group	1	$679,531	74,591	0.01%	2018
2648	72	Self Distributed	6	$674,720	74,061	0.01%	2018
2649	73	Indican Pictures	18	$673,447	73,915	0.01%	2018
2650	74	CJ Entertainment	2	$607,611	66,696	0.01%	2018
2651	75	Open Road	1	$583,341	64,033	0.00%	2018
2652	76	New Line	1	$442,073	48,526	0.00%	2018
2653	77	Excel Entertainment	1	$362,612	39,803	0.00%	2018
2654	78	Janus Films	8	$351,497	38,579	0.00%	2018
2655	79	Hannover House	4	$325,859	35,768	0.00%	2018
2656	80	Cinema Guild	9	$311,780	34,220	0.00%	2018
2657	81	National Geographic Entertainment	1	$278,350	30,554	0.00%	2018
2658	82	PBS Distribution	4	$258,556	28,380	0.00%	2018
2659	83	Mongrel Media	4	$254,955	27,985	0.00%	2018
2660	84	Dada Films	1	$199,069	21,851	0.00%	2018
2661	85	Samuel Goldwyn Films	3	$182,375	20,018	0.00%	2018
2662	86	Gravitas Ventures	5	$158,885	17,439	0.00%	2018
2663	87	IFC Midnight	1	$148,747	16,328	0.00%	2018
2664	88	YouTube	1	$148,505	16,301	0.00%	2018
2665	89	4th Row Films	1	$117,470	12,894	0.00%	2018
2666	90	MUBI	1	$117,460	12,893	0.00%	2018
2667	91	Fathom Events	1	$115,463	12,674	0.00%	2018
2668	92	Independent Artists	1	$113,956	12,508	0.00%	2018
2669	93	Blue Fox Entertainment	3	$104,678	11,490	0.00%	2018
2670	94	First Run Features	14	$102,211	11,212	0.00%	2018
2671	95	Columbia	1	$102,023	11,199	0.00%	2018
2672	96	Great Point Media	2	$99,702	10,944	0.00%	2018
2673	97	Distrib Films	6	$97,661	10,717	0.00%	2018
2674	98	Darin Southam Endeavor, Inc.	1	$93,224	10,233	0.00%	2018
2675	99	Atlas Distribution	2	$92,834	10,189	0.00%	2018
2676	100	HBO Documentary Films	1	$87,400	9,593	0.00%	2018
2677	101	Screen Media Films	1	$80,134	8,796	0.00%	2018
2678	102	Zipporah	2	$73,745	8,094	0.00%	2018
2679	103	Outsider	1	$73,548	8,073	0.00%	2018
2680	104	Super LTD	2	$71,949	7,897	0.00%	2018
2681	105	Illumine Films	1	$65,524	7,192	0.00%	2018
2682	106	Paladin	4	$65,229	7,158	0.00%	2018
2683	107	Under the Milky Way	1	$56,556	6,208	0.00%	2018
2684	108	Argot Pictures	1	$46,704	5,126	0.00%	2018
2685	109	Vitagraph Films	1	$45,037	4,943	0.00%	2018
2686	110	Cartilage Films	2	$44,750	4,911	0.00%	2018
2687	111	Rialto Pictures	4	$40,892	4,487	0.00%	2018
2688	112	Shout! Factory	1	$38,419	4,217	0.00%	2018
2689	113	Westport International	1	$36,089	3,961	0.00%	2018
2690	114	Parade Deck Films	2	$33,685	3,697	0.00%	2018
2691	115	Broad Green Pictures	1	$32,608	3,579	0.00%	2018
2692	116	Barn Owl	1	$31,630	3,472	0.00%	2018
2693	117	Fleetwood Films	1	$27,286	2,995	0.00%	2018
2694	118	Miramax	1	$26,331	2,890	0.00%	2018
2695	119	Cinema Libre	3	$26,323	2,888	0.00%	2018
2696	120	Libra Films	1	$22,293	2,447	0.00%	2018
2697	121	Idle Wild Films	1	$22,257	2,443	0.00%	2018
2698	122	CFI	2	$19,407	2,129	0.00%	2018
2699	123	Crimson Forest Entertainment Group Inc.	1	$18,870	2,071	0.00%	2018
2700	124	El Tigre Productions	1	$18,399	2,019	0.00%	2018
2701	125	Lopert Pictures Corporation	1	$17,646	1,936	0.00%	2018
2702	126	Triumph Releasing	1	$15,586	1,710	0.00%	2018
2703	127	Tripod Media	1	$15,241	1,672	0.00%	2018
2704	128	Producers Releasing Corporation	1	$14,632	1,606	0.00%	2018
2705	129	AMBI	1	$13,337	1,463	0.00%	2018
2706	130	Cinemation Industries	1	$13,139	1,442	0.00%	2018
2707	131	Fine Line	2	$11,573	1,269	0.00%	2018
2708	132	IronFlix	1	$11,140	1,222	0.00%	2018
2709	133	in8 Releasing	1	$11,087	1,217	0.00%	2018
2710	134	Doppelganger Releasing	1	$10,153	1,114	0.00%	2018
2711	135	Cinedigm	1	$9,893	1,085	0.00%	2018
2712	136	ArtMattan Productions	1	$9,808	1,076	0.00%	2018
2713	137	Epic Pictures Group	1	$7,362	808	0.00%	2018
2714	138	Carpe Stella	1	$6,756	741	0.00%	2018
2715	139	Arrow Releasing	1	$5,234	574	0.00%	2018
2716	140	Driving With Our Eyes Shut	3	$4,127	452	0.00%	2018
2717	141	Magnet Pictures	2	$1,905	208	0.00%	2018
2718	142	Reel One Entertainment / Supremacy Films	1	$1,368	150	0.00%	2018
2719	143	Uncork'd Entertainment	1	$449	49	0.00%	2018
2720	1	Walt Disney	13	$3,742,497,656	410,812,035	33.15%	2019
2721	2	Warner Bros.	43	$1,570,520,862	172,395,261	13.91%	2019
2722	3	Sony Pictures	24	$1,374,824,330	150,913,744	12.18%	2019
2723	4	Universal	26	$1,303,896,396	143,128,035	11.55%	2019
2724	5	Lionsgate	21	$797,851,162	87,579,701	7.07%	2019
2725	6	Paramount Pictures	11	$563,908,126	61,899,898	4.99%	2019
2726	7	20th Century Fox	13	$492,158,921	54,024,024	4.36%	2019
2727	8	STX Entertainment	10	$318,803,265	34,994,865	2.82%	2019
2728	9	Focus Features	12	$211,785,379	23,247,571	1.88%	2019
2729	10	United Artists	6	$210,340,105	23,088,921	1.86%	2019
2730	11	A24	13	$107,420,363	11,791,473	0.95%	2019
2731	12	Fox Searchlight	9	$77,858,528	8,546,487	0.69%	2019
2732	13	Roadside Attractions	10	$54,577,477	5,990,937	0.48%	2019
2733	14	Neon	11	$50,202,933	5,510,744	0.44%	2019
2734	15	Entertainment Studios Motion Pictures	4	$32,699,249	3,589,378	0.29%	2019
2735	16	Amazon Studios	9	$30,751,390	3,375,559	0.27%	2019
2736	17	FUNimation	1	$30,376,755	3,334,440	0.27%	2019
2737	18	Annapurna Pictures	3	$29,900,553	3,282,166	0.26%	2019
2738	19	Sony Pictures Classics	17	$23,559,760	2,586,133	0.21%	2019
2739	20	MGM	2	$23,135,583	2,539,580	0.20%	2019
2740	21	Aviron Pictures	3	$20,695,708	2,271,756	0.18%	2019
2741	22	Bleecker Street	6	$19,612,529	2,152,854	0.17%	2019
2742	23	Pure Flix Entertainment	1	$19,005,109	2,086,181	0.17%	2019
2743	24	Greenwich	13	$14,965,009	1,642,695	0.13%	2019
2744	25	FIP	9	$14,937,832	1,639,712	0.13%	2019
2745	26	Orion Pictures	1	$14,856,291	1,630,767	0.13%	2019
2746	27	Well Go USA	23	$12,830,609	1,408,398	0.11%	2019
2747	28	Trafalgar Releasing	15	$11,988,577	1,315,972	0.11%	2019
2748	29	Yash Raj Films	4	$7,227,573	793,364	0.06%	2019
2749	30	Fathom Events	5	$7,115,860	781,101	0.06%	2019
2750	31	Viva Entertainment	2	$6,901,348	757,557	0.06%	2019
2751	32	Self Distributed	8	$6,551,419	719,142	0.06%	2019
2752	33	IFC Films	23	$6,501,073	713,610	0.06%	2019
2753	34	101 Studios	1	$5,978,673	656,275	0.05%	2019
2754	35	Magnolia Pictures	19	$5,817,737	638,602	0.05%	2019
2755	36	OTL Releasing	1	$5,215,062	572,455	0.05%	2019
2756	37	CBS Films	2	$5,004,377	549,326	0.04%	2019
2757	38	PackYourBag Films	3	$4,292,412	471,175	0.04%	2019
2758	39	Reliance Entertainment	3	$3,718,080	408,130	0.03%	2019
2759	40	ShortsHD	1	$3,531,093	387,606	0.03%	2019
2760	41	Entertainment One	3	$2,908,613	319,276	0.03%	2019
2761	42	GKIDS	10	$2,791,090	306,372	0.02%	2019
2762	43	CJ Entertainment	7	$2,775,233	304,632	0.02%	2019
2763	44	IMAX Films	2	$2,666,106	292,657	0.02%	2019
2764	45	CMC Pictures	3	$2,564,435	281,496	0.02%	2019
2765	46	ArtAffects	2	$2,017,106	221,416	0.02%	2019
2766	47	Kino Lorber	21	$1,874,952	205,801	0.02%	2019
2767	48	Zee Studios	1	$1,861,000	204,281	0.02%	2019
2768	49	Indican Pictures	19	$1,573,192	172,678	0.01%	2019
2769	50	Area 23a	1	$1,444,604	158,573	0.01%	2019
2770	51	Music Box Films	8	$1,293,077	141,935	0.01%	2019
2771	52	Atlas Distribution	3	$1,277,590	140,239	0.01%	2019
2772	53	Purdie Distribution	2	$1,272,998	139,735	0.01%	2019
2773	54	Abramorama Films	11	$1,225,214	134,485	0.01%	2019
2774	55	Gunpowder & Sky	3	$1,055,051	115,810	0.01%	2019
2775	56	Cohen Media Group	9	$993,648	109,068	0.01%	2019
2776	57	China Lion Film Distribution	5	$943,533	103,570	0.01%	2019
2777	58	The Orchard	4	$886,803	97,342	0.01%	2019
2778	59	Oscilloscope Pictures	10	$846,907	92,958	0.01%	2019
2779	60	New Line	1	$786,249	86,306	0.01%	2019
2780	61	Gravitas Ventures	4	$778,751	85,480	0.01%	2019
2781	62	1091 Media	5	$734,336	80,605	0.01%	2019
2782	63	ESX Entertainment	1	$725,042	79,587	0.01%	2019
2783	64	Briarcliffe Entertainment	1	$700,261	76,867	0.01%	2019
2784	65	Mongrel Media	1	$650,565	71,412	0.01%	2019
2785	66	PBS Distribution	2	$644,450	70,740	0.01%	2019
2786	67	Blue Fox Entertainment	5	$544,066	59,719	0.00%	2019
2787	68	The Ciesla Foundation	1	$519,525	57,027	0.00%	2019
2788	69	P12 Films	1	$481,924	52,900	0.00%	2019
2789	70	Film Movement	19	$430,642	47,261	0.00%	2019
2790	71	Ledafilms	1	$400,498	43,962	0.00%	2019
2791	72	Strand	9	$367,998	40,390	0.00%	2019
2792	73	BritBox	1	$299,745	32,902	0.00%	2019
2793	74	Zeitgeist	7	$295,839	32,470	0.00%	2019
2794	75	Janus Films	7	$268,489	29,468	0.00%	2019
2795	76	Film Arcade	2	$263,665	28,942	0.00%	2019
2796	77	Good Deed Entertainment	2	$256,255	28,128	0.00%	2019
2797	78	RLJ Entertainment	1	$252,293	27,694	0.00%	2019
2798	79	Smith Global Media	1	$251,917	27,652	0.00%	2019
2799	80	Eros Entertainment	1	$227,714	24,996	0.00%	2019
2800	81	Distrib Films	6	$219,330	24,072	0.00%	2019
2801	82	Cinema Guild	9	$212,901	23,365	0.00%	2019
2802	83	Santa Rita Film Co	1	$204,881	22,489	0.00%	2019
2803	84	OâMalley Creadon Productions	1	$204,709	22,470	0.00%	2019
2804	85	Quartet Films	1	$189,718	20,825	0.00%	2019
2805	86	Variance Films	1	$175,559	19,271	0.00%	2019
2806	87	Rialto Pictures	4	$154,095	16,913	0.00%	2019
2807	88	Continental Distributing	1	$148,557	16,307	0.00%	2019
2808	89	Sundance Selects	1	$145,626	15,985	0.00%	2019
2809	90	Academy Entertainment	1	$125,677	13,795	0.00%	2019
2810	91	Dada Films	1	$99,958	10,972	0.00%	2019
2811	92	Citadel	1	$86,858	9,534	0.00%	2019
2812	93	Matson	2	$84,732	9,300	0.00%	2019
2813	94	GVN Releasing	1	$83,891	9,208	0.00%	2019
2814	95	Franklin Media	1	$80,868	8,876	0.00%	2019
2815	96	Nocturnal Features	2	$72,000	7,903	0.00%	2019
2816	97	Round Hill Media	1	$71,609	7,860	0.00%	2019
2817	98	Shudder	1	$52,406	5,752	0.00%	2019
2818	99	Utopia	1	$50,250	5,515	0.00%	2019
2819	100	Lurker Films	1	$50,168	5,506	0.00%	2019
2820	101	First Run Features	5	$47,641	5,227	0.00%	2019
2821	102	Big World Pictures	3	$47,615	5,225	0.00%	2019
2822	103	National Geographic Entertainment	1	$45,096	4,950	0.00%	2019
2823	104	Grasshopper Film	2	$43,916	4,820	0.00%	2019
2824	105	Freestyle Releasing	1	$43,059	4,726	0.00%	2019
2825	106	Screen Media Films	2	$35,246	3,868	0.00%	2019
2826	107	in8 Releasing	1	$32,413	3,557	0.00%	2019
2827	108	Altered Innocence	1	$31,969	3,509	0.00%	2019
2828	109	IFC Midnight	1	$28,611	3,140	0.00%	2019
2829	110	KimStim	2	$27,229	2,988	0.00%	2019
2830	111	Monument Releasing	2	$25,689	2,819	0.00%	2019
2831	112	Cinema Libre	3	$18,593	2,039	0.00%	2019
2832	113	Joma Films	1	$18,356	2,014	0.00%	2019
2833	114	Excel Entertainment	1	$17,405	1,910	0.00%	2019
2834	115	Vertical Entertainment	1	$14,500	1,591	0.00%	2019
2835	116	Super LTD	1	$13,688	1,502	0.00%	2019
2836	117	Doppelganger Releasing	1	$13,253	1,454	0.00%	2019
2837	118	Arthur Davis Associates	1	$9,934	1,090	0.00%	2019
2838	119	Arrow Releasing	1	$8,320	913	0.00%	2019
2839	120	Samuel Goldwyn Films	1	$7,710	846	0.00%	2019
2840	121	Breakthrough Entertainment	1	$7,692	844	0.00%	2019
2841	122	CFI	1	$6,745	740	0.00%	2019
2842	123	Zipporah	1	$5,738	629	0.00%	2019
2843	124	Putnam Square Films	1	$5,633	618	0.00%	2019
2844	125	International Film Circuit	1	$5,006	549	0.00%	2019
2845	126	Shout! Factory	1	$4,332	475	0.00%	2019
2846	127	Sumbadhat Productions	1	$3,919	430	0.00%	2019
2847	128	Producers Releasing Corporation	1	$1,540	169	0.00%	2019
2848	129	Fleetwood Films	1	$437	47	0.00%	2019
